,Province,Country id
0,,35
1,Pirque,16
2,Moscatel do Douro,38
3,Cape South Coast,38
4,Messinia,38
5,Moravia,10
6,Cahul,35
7,Requinoa,0
8,Codru Region,21
9,Burgundy,0
10,Missouri,38
11,Curicó and Leyda Valleys,0
12,Danube River Plains,38
13,New Zealand,35
14,Jerusalem Hills,38
15,Connecticut,21
16,Switzerland,23
17,Nevada,23
18,California,10
19,Santorini,38
20,Colorado,38
21,Rheingau,38
22,Dingač,35
23,Vin de Pays de Velvendo,38
24,Pitsilia Mountains,35
25,Central Valley,38
26,Südoststeiermark,35
27,Korčula,35
28,Mavrodaphne de Cephalonie,35
29,Beiras,38
30,Walker Bay,0
31,Štajerska,35
32,Waiheke Island,35
33,Ankara,38
34,South Africa,38
35,Buin,38
36,Slovenia,41
37,Germany,35
38,Colchagua Valley,35
39,Waitaki Valley,35
40,Portuguese Table Wine,35
41,Kakheti,38
42,Niederösterreich,0
43,Elazığ,38
44,Corinthia,41
45,Egypt,38
46,New South Wales,35
47,Elgin,38
48,Madeira,38
49,Lesbos,0
50,Sterea Ellada,35
51,Nahe,41
52,Kentucky,35
53,Other,0
54,Galicia,35
55,Kumeu,38
56,Brda,38
57,Algarve,35
58,Dão,41
59,Wachau,38
60,Agioritikos,38
61,Texas,35
62,Galil,38
63,Tikves,0
64,Krania Olympus,38
65,Península de Setúbal,0
66,Aconcagua Valley,0
67,Tejo,38
68,Amindeo,38
69,Dolenjska,0
70,Retsina,38
71,Pageon,38
72,Colchagua Costa,35
73,Dalmatian Coast,38
74,Ismarikos,38
75,Alentejo,38
76,Upper Galilee,21
77,Golan Heights,2
78,Leyda Valley-Maipo Valley,38
79,Molina,16
80,Vale Trentino,41
81,Moselle Luxembourgeoise,10
82,Arcadia,0
83,Pangeon,2
84,Steiermark,38
85,Turkey,21
86,Casablanca Valley,38
87,Tokaj,38
88,Piedmont,35
89,Muzla,35
90,Apalta,38
91,Mantinia,38
92,Kathikas,38
93,Murfatlar,17
94,Santa Catarina,38
95,Casablanca-Curicó Valley,0
96,Santa Cruz,0
97,Vinho Verde,38
98,Negev,35
99,Cauquenes Valley,38
100,San Jose,38
101,Tulbagh,38
102,Hrvatsko Primorje,38
103,Bekaa Valley,41
104,Northern Cape,35
105,Samos,35
106,Olifants River,35
107,Spain Other,35
108,Oregon,38
